VENTMACH,INSUFFANESTH,HR,MINVOLSET
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
HIGH,False,HIGH,NORMAL
ZERO,False,LOW,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
HIGH,True,HIGH,HIGH
HIGH,False,HIGH,HIGH
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,True,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
HIGH,False,HIGH,HIGH
HIGH,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,True,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,True,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,True,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,True,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
LOW,False,HIGH,LOW
HIGH,False,NORMAL,HIGH
LOW,True,HIGH,LOW
NORMAL,False,HIGH,NORMAL
NORMAL,True,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
LOW,False,HIGH,LOW
NORMAL,False,HIGH,NORMAL
NORMAL,True,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
ZERO,True,HIGH,NORMAL
NORMAL,True,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
ZERO,False,LOW,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
LOW,False,NORMAL,LOW
NORMAL,False,NORMAL,NORMAL
NORMAL,True,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
HIGH,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,True,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
ZERO,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
LOW,False,HIGH,LOW
NORMAL,False,NORMAL,NORMAL
NORMAL,True,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
LOW,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
HIGH,False,NORMAL,HIGH
ZERO,False,HIGH,NORMAL
ZERO,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
ZERO,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,True,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,True,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,True,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,True,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
ZERO,False,HIGH,NORMAL
HIGH,False,NORMAL,HIGH
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
LOW,True,NORMAL,LOW
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,True,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
LOW,True,NORMAL,LOW
NORMAL,True,HIGH,NORMAL
NORMAL,True,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
HIGH,False,HIGH,HIGH
NORMAL,False,HIGH,NORMAL
ZERO,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
LOW,False,HIGH,LOW
NORMAL,False,HIGH,NORMAL
ZERO,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
ZERO,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
HIGH,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
ZERO,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
HIGH,False,NORMAL,HIGH
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
ZERO,False,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,True,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
LOW,False,HIGH,LOW
LOW,True,HIGH,LOW
NORMAL,False,NORMAL,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
ZERO,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,True,HIGH,NORMAL
ZERO,False,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,True,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,True,HIGH,NORMAL
HIGH,False,HIGH,HIGH
HIGH,False,NORMAL,HIGH
NORMAL,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
HIGH,False,NORMAL,NORMAL
NORMAL,True,LOW,NORMAL
ZERO,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
HIGH,False,HIGH,HIGH
ZERO,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,True,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
LOW,False,NORMAL,LOW
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,True,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
LOW,False,NORMAL,LOW
NORMAL,True,NORMAL,NORMAL
NORMAL,True,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
LOW,False,HIGH,LOW
NORMAL,False,NORMAL,NORMAL
ZERO,False,HIGH,LOW
NORMAL,False,HIGH,NORMAL
NORMAL,True,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
ZERO,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
LOW,False,HIGH,LOW
NORMAL,False,HIGH,NORMAL
ZERO,False,HIGH,HIGH
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,True,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,True,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
LOW,False,HIGH,NORMAL
NORMAL,True,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,True,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
LOW,False,HIGH,LOW
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,True,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
ZERO,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
LOW,False,NORMAL,LOW
HIGH,False,HIGH,NORMAL
NORMAL,True,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
HIGH,False,NORMAL,HIGH
NORMAL,False,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
ZERO,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
LOW,False,HIGH,LOW
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,True,HIGH,NORMAL
LOW,False,NORMAL,LOW
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
LOW,False,HIGH,LOW
HIGH,False,NORMAL,HIGH
LOW,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,True,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,True,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
HIGH,False,HIGH,HIGH
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
LOW,False,HIGH,LOW
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
ZERO,False,HIGH,LOW
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
LOW,False,HIGH,LOW
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
HIGH,False,HIGH,HIGH
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
LOW,False,NORMAL,LOW
NORMAL,False,HIGH,NORMAL
ZERO,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,True,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
HIGH,False,HIGH,HIGH
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
LOW,False,HIGH,LOW
NORMAL,False,HIGH,NORMAL
ZERO,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
HIGH,False,HIGH,HIGH
HIGH,False,NORMAL,HIGH
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
HIGH,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
LOW,False,HIGH,LOW
LOW,False,HIGH,LOW
NORMAL,False,HIGH,NORMAL
HIGH,False,NORMAL,HIGH
HIGH,False,HIGH,HIGH
HIGH,True,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,True,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,True,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
ZERO,False,HIGH,LOW
LOW,False,HIGH,LOW
NORMAL,True,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
LOW,False,HIGH,LOW
NORMAL,False,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
HIGH,False,HIGH,HIGH
NORMAL,False,HIGH,NORMAL
HIGH,False,HIGH,NORMAL
NORMAL,True,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
ZERO,False,HIGH,NORMAL
NORMAL,False,LOW,NORMAL
NORMAL,True,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,True,LOW,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
ZERO,False,NORMAL,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
LOW,False,HIGH,LOW
NORMAL,False,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,True,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
ZERO,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
HIGH,False,NORMAL,HIGH
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
HIGH,False,HIGH,HIGH
NORMAL,False,NORMAL,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,True,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,True,HIGH,NORMAL
HIGH,False,HIGH,HIGH
HIGH,False,HIGH,HIGH
HIGH,False,NORMAL,HIGH
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
HIGH,False,HIGH,HIGH
HIGH,False,HIGH,HIGH
NORMAL,False,HIGH,NORMAL
LOW,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
HIGH,False,HIGH,HIGH
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,True,HIGH,NORMAL
HIGH,False,HIGH,NORMAL
NORMAL,True,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
HIGH,False,HIGH,HIGH
NORMAL,False,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
LOW,False,HIGH,LOW
NORMAL,False,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
HIGH,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
HIGH,False,NORMAL,HIGH
NORMAL,True,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,True,HIGH,NORMAL
LOW,False,HIGH,NORMAL
HIGH,False,HIGH,HIGH
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
LOW,True,NORMAL,NORMAL
LOW,False,HIGH,LOW
NORMAL,False,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,True,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
ZERO,False,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
LOW,False,HIGH,LOW
HIGH,False,HIGH,HIGH
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
HIGH,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,True,LOW,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,True,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,True,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,True,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
LOW,False,HIGH,LOW
LOW,False,HIGH,LOW
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,True,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
ZERO,False,HIGH,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,True,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
LOW,False,NORMAL,LOW
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,True,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,True,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,LOW
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
LOW,True,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
LOW,False,NORMAL,LOW
NORMAL,False,NORMAL,NORMAL
LOW,False,HIGH,LOW
NORMAL,False,HIGH,NORMAL
LOW,False,HIGH,LOW
ZERO,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
NORMAL,False,HIGH,NORMAL
HIGH,True,HIGH,HIGH
NORMAL,False,NORMAL,NORMAL
NORMAL,False,NORMAL,NORMAL
NORMAL,False,HIGH,NORMAL
LOW,False,HIGH,LOW
