INTUBATION,EXPCO2,MINVOL,VENTALV,VENTLUNG,ARTCO2
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
ONESIDED,LOW,NORMAL,NORMAL,ZERO,NORMAL
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,ZERO,ZERO,HIGH,ZERO,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,ZERO,HIGH,HIGH,LOW,NORMAL
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,NORMAL,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
ONESIDED,NORMAL,LOW,LOW,LOW,HIGH
NORMAL,ZERO,HIGH,HIGH,LOW,NORMAL
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,NORMAL
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,HIGH,LOW,LOW,HIGH,HIGH
ONESIDED,LOW,NORMAL,NORMAL,ZERO,NORMAL
ONESIDED,LOW,NORMAL,NORMAL,ZERO,NORMAL
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,LOW,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,NORMAL,LOW,NORMAL,NORMAL,NORMAL
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,ZERO,ZERO,HIGH,ZERO,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
ONESIDED,LOW,LOW,LOW,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,ZERO,HIGH,HIGH,LOW,NORMAL
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,NORMAL,ZERO,NORMAL,NORMAL,NORMAL
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
ESOPHAGEAL,LOW,LOW,LOW,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
ESOPHAGEAL,LOW,LOW,LOW,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,ZERO,ZERO,ZERO,ZERO,LOW
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
ONESIDED,LOW,NORMAL,NORMAL,ZERO,NORMAL
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,NORMAL,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,NORMAL,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
ONESIDED,LOW,NORMAL,NORMAL,ZERO,NORMAL
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
ONESIDED,LOW,NORMAL,NORMAL,ZERO,NORMAL
ONESIDED,LOW,NORMAL,NORMAL,ZERO,NORMAL
NORMAL,HIGH,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
ESOPHAGEAL,LOW,NORMAL,LOW,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,NORMAL,ZERO,NORMAL,NORMAL,NORMAL
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
ONESIDED,NORMAL,LOW,LOW,LOW,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
ESOPHAGEAL,LOW,LOW,LOW,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
ONESIDED,LOW,NORMAL,NORMAL,ZERO,NORMAL
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
ONESIDED,LOW,NORMAL,NORMAL,ZERO,NORMAL
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
ESOPHAGEAL,LOW,LOW,LOW,ZERO,HIGH
NORMAL,NORMAL,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,ZERO,ZERO,HIGH
NORMAL,ZERO,ZERO,HIGH,ZERO,LOW
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,NORMAL,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,ZERO,HIGH,HIGH,LOW,NORMAL
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,ZERO,ZERO,HIGH,ZERO,LOW
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,LOW,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
ONESIDED,NORMAL,ZERO,LOW,LOW,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
ONESIDED,LOW,NORMAL,NORMAL,ZERO,NORMAL
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,NORMAL,ZERO,NORMAL
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,HIGH,ZERO,ZERO,ZERO,HIGH
NORMAL,ZERO,ZERO,ZERO,ZERO,HIGH
ESOPHAGEAL,LOW,LOW,LOW,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,NORMAL
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
ESOPHAGEAL,ZERO,LOW,LOW,ZERO,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,NORMAL
NORMAL,HIGH,LOW,LOW,HIGH,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
ONESIDED,NORMAL,HIGH,LOW,HIGH,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,HIGH,HIGH,LOW,LOW
ESOPHAGEAL,LOW,LOW,LOW,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
ONESIDED,LOW,NORMAL,NORMAL,ZERO,NORMAL
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
ONESIDED,LOW,NORMAL,NORMAL,ZERO,NORMAL
ESOPHAGEAL,NORMAL,ZERO,ZERO,LOW,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,LOW,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,NORMAL,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,NORMAL,ZERO,ZERO,NORMAL
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,NORMAL,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
ONESIDED,ZERO,ZERO,LOW,LOW,NORMAL
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
ONESIDED,NORMAL,LOW,LOW,LOW,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,NORMAL,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
ONESIDED,NORMAL,ZERO,LOW,LOW,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,NORMAL,ZERO,ZERO,HIGH
ONESIDED,NORMAL,LOW,LOW,LOW,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,LOW,ZERO,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,HIGH,LOW,LOW
NORMAL,HIGH,HIGH,HIGH,LOW,LOW
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,NORMAL,ZERO,NORMAL,NORMAL,NORMAL
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,ZERO,ZERO,ZERO,ZERO,LOW
NORMAL,NORMAL,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
ESOPHAGEAL,LOW,ZERO,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
ESOPHAGEAL,LOW,LOW,LOW,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
ONESIDED,LOW,NORMAL,NORMAL,ZERO,NORMAL
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,ZERO,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,HIGH,HIGH,LOW,LOW
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,LOW,ZERO,ZERO,HIGH
NORMAL,LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,NORMAL,LOW,HIGH,NORMAL,LOW
