ERRCAUTER,CO,HRSAT,HREKG,HR,HISTORY
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
True,LOW,NORMAL,NORMAL,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,LOW,LOW,NORMAL,False
False,LOW,HIGH,HIGH,HIGH,False
True,HIGH,NORMAL,NORMAL,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,LOW,HIGH,HIGH,HIGH,False
False,LOW,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,LOW,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,NORMAL,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,LOW,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,LOW,LOW,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
False,LOW,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
False,HIGH,HIGH,NORMAL,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
False,LOW,HIGH,NORMAL,LOW,False
False,HIGH,HIGH,HIGH,HIGH,False
False,NORMAL,HIGH,HIGH,HIGH,True
False,LOW,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,LOW,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,NORMAL,HIGH,HIGH,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
False,LOW,LOW,LOW,NORMAL,True
True,HIGH,NORMAL,NORMAL,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
True,HIGH,NORMAL,NORMAL,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
True,HIGH,NORMAL,NORMAL,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,LOW,HIGH,HIGH,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
False,NORMAL,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,NORMAL,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,LOW,HIGH,HIGH,HIGH,True
False,LOW,HIGH,HIGH,HIGH,True
False,HIGH,HIGH,HIGH,HIGH,False
True,HIGH,NORMAL,NORMAL,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
False,LOW,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,NORMAL,HIGH,False
False,LOW,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
True,HIGH,HIGH,NORMAL,HIGH,False
False,LOW,HIGH,HIGH,HIGH,False
False,HIGH,LOW,LOW,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
True,LOW,NORMAL,LOW,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,LOW,LOW,LOW,NORMAL,False
False,NORMAL,LOW,LOW,NORMAL,False
False,NORMAL,LOW,LOW,NORMAL,False
False,LOW,HIGH,HIGH,HIGH,False
False,LOW,HIGH,HIGH,HIGH,True
False,HIGH,HIGH,HIGH,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
True,HIGH,NORMAL,NORMAL,HIGH,False
False,LOW,HIGH,HIGH,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
True,HIGH,NORMAL,NORMAL,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,LOW,HIGH,HIGH,HIGH,False
False,LOW,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,True
False,NORMAL,LOW,LOW,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
True,HIGH,NORMAL,NORMAL,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,LOW,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,LOW,HIGH,HIGH,HIGH,True
False,NORMAL,HIGH,HIGH,HIGH,True
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
True,HIGH,NORMAL,NORMAL,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,LOW,LOW,LOW,NORMAL,False
False,LOW,HIGH,HIGH,HIGH,False
False,NORMAL,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
True,LOW,NORMAL,NORMAL,HIGH,True
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,NORMAL,HIGH,HIGH,HIGH,False
False,NORMAL,HIGH,HIGH,HIGH,False
True,LOW,NORMAL,NORMAL,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
True,NORMAL,HIGH,HIGH,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,LOW,HIGH,HIGH,HIGH,True
False,NORMAL,LOW,LOW,NORMAL,False
False,LOW,HIGH,HIGH,HIGH,True
False,NORMAL,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,LOW,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
True,LOW,NORMAL,NORMAL,HIGH,True
False,HIGH,HIGH,HIGH,HIGH,False
True,HIGH,NORMAL,NORMAL,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,LOW,LOW,LOW,NORMAL,False
False,NORMAL,LOW,LOW,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
False,LOW,HIGH,HIGH,HIGH,True
False,NORMAL,HIGH,LOW,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,LOW,HIGH,False
False,HIGH,LOW,LOW,NORMAL,False
True,LOW,NORMAL,NORMAL,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,LOW,HIGH,HIGH,HIGH,True
False,HIGH,HIGH,HIGH,HIGH,True
False,LOW,HIGH,HIGH,HIGH,True
False,HIGH,HIGH,HIGH,HIGH,False
False,NORMAL,HIGH,HIGH,HIGH,True
False,NORMAL,LOW,HIGH,NORMAL,True
False,NORMAL,LOW,LOW,NORMAL,False
False,LOW,HIGH,HIGH,HIGH,True
False,HIGH,HIGH,HIGH,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
False,LOW,LOW,LOW,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,LOW,LOW,NORMAL,False
False,LOW,LOW,NORMAL,LOW,False
True,NORMAL,NORMAL,NORMAL,NORMAL,False
False,LOW,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
False,NORMAL,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,LOW,LOW,LOW,NORMAL,False
False,LOW,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,LOW,HIGH,HIGH,HIGH,False
False,LOW,LOW,LOW,NORMAL,True
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,NORMAL,HIGH,HIGH,False
False,LOW,HIGH,HIGH,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
True,NORMAL,NORMAL,NORMAL,NORMAL,False
False,LOW,LOW,LOW,NORMAL,False
True,HIGH,NORMAL,NORMAL,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
True,HIGH,NORMAL,NORMAL,HIGH,False
True,HIGH,NORMAL,NORMAL,HIGH,False
True,NORMAL,HIGH,LOW,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
True,HIGH,NORMAL,NORMAL,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,True
False,HIGH,HIGH,HIGH,HIGH,False
True,HIGH,NORMAL,NORMAL,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,LOW,HIGH,HIGH,HIGH,False
True,HIGH,NORMAL,NORMAL,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
True,HIGH,NORMAL,NORMAL,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,True
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,NORMAL,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,LOW,HIGH,HIGH,HIGH,True
True,HIGH,NORMAL,NORMAL,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
True,HIGH,NORMAL,HIGH,HIGH,False
True,LOW,NORMAL,NORMAL,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
True,HIGH,NORMAL,NORMAL,HIGH,False
False,LOW,LOW,LOW,NORMAL,False
False,LOW,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,NORMAL,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,LOW,HIGH,HIGH,False
False,LOW,HIGH,HIGH,HIGH,True
False,LOW,LOW,LOW,NORMAL,False
False,LOW,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
True,HIGH,NORMAL,NORMAL,HIGH,False
True,NORMAL,LOW,HIGH,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
True,LOW,NORMAL,NORMAL,HIGH,True
False,HIGH,HIGH,HIGH,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
False,LOW,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,LOW,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,NORMAL,LOW,HIGH,NORMAL,False
False,HIGH,HIGH,NORMAL,HIGH,False
False,LOW,LOW,LOW,NORMAL,True
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
True,HIGH,NORMAL,NORMAL,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,LOW,HIGH,HIGH,HIGH,True
False,NORMAL,HIGH,LOW,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,LOW,LOW,LOW,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
True,HIGH,NORMAL,NORMAL,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
False,NORMAL,LOW,LOW,NORMAL,False
False,LOW,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,LOW,HIGH,HIGH,False
False,LOW,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,LOW,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,LOW,HIGH,HIGH,HIGH,False
False,LOW,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,LOW,HIGH,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,NORMAL,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
True,HIGH,NORMAL,NORMAL,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,LOW,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,NORMAL,HIGH,HIGH,HIGH,False
False,NORMAL,HIGH,HIGH,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
False,LOW,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,LOW,HIGH,HIGH,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,LOW,HIGH,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,True
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
True,HIGH,NORMAL,NORMAL,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
False,LOW,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
True,NORMAL,HIGH,LOW,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
True,HIGH,NORMAL,NORMAL,HIGH,False
True,HIGH,NORMAL,NORMAL,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
True,HIGH,NORMAL,NORMAL,HIGH,False
False,LOW,HIGH,HIGH,HIGH,True
False,LOW,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,LOW,HIGH,LOW,LOW,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,NORMAL,HIGH,HIGH,HIGH,False
False,LOW,NORMAL,LOW,LOW,False
False,HIGH,HIGH,HIGH,HIGH,False
False,LOW,HIGH,HIGH,HIGH,True
False,HIGH,HIGH,HIGH,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
False,NORMAL,LOW,LOW,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,LOW,HIGH,HIGH,HIGH,False
False,LOW,HIGH,HIGH,HIGH,False
True,HIGH,NORMAL,NORMAL,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
False,LOW,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,True
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,LOW,LOW,LOW,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,NORMAL,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
True,HIGH,NORMAL,NORMAL,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
False,NORMAL,HIGH,HIGH,HIGH,False
False,NORMAL,LOW,LOW,NORMAL,False
False,NORMAL,LOW,LOW,NORMAL,False
False,LOW,LOW,LOW,NORMAL,False
False,HIGH,HIGH,HIGH,HIGH,False
False,HIGH,HIGH,HIGH,HIGH,False
