LVEDVOLUME,CO,HR,HYPOVOLEMIA,STROKEVOLUME
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
LOW,LOW,HIGH,False,LOW
HIGH,HIGH,HIGH,True,NORMAL
HIGH,HIGH,HIGH,True,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
LOW,LOW,NORMAL,True,LOW
NORMAL,NORMAL,HIGH,False,LOW
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
HIGH,HIGH,HIGH,True,NORMAL
HIGH,HIGH,HIGH,True,NORMAL
HIGH,LOW,HIGH,True,LOW
HIGH,HIGH,HIGH,True,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,HIGH,HIGH,True,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,LOW,HIGH,False,LOW
HIGH,HIGH,HIGH,True,NORMAL
NORMAL,HIGH,HIGH,False,HIGH
NORMAL,HIGH,NORMAL,False,HIGH
HIGH,LOW,HIGH,True,LOW
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,LOW,HIGH,True,LOW
HIGH,LOW,HIGH,True,LOW
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,LOW,HIGH,True,LOW
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,LOW,HIGH,True,LOW
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,NORMAL,False,HIGH
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,LOW,HIGH,True,LOW
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
HIGH,HIGH,HIGH,True,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,LOW,LOW,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
LOW,NORMAL,HIGH,False,LOW
NORMAL,LOW,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,LOW,HIGH,True,LOW
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,True,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
LOW,LOW,NORMAL,True,LOW
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,HIGH,HIGH,True,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
HIGH,HIGH,HIGH,True,NORMAL
NORMAL,HIGH,HIGH,True,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,LOW,HIGH,True,LOW
NORMAL,NORMAL,NORMAL,False,NORMAL
HIGH,HIGH,HIGH,True,NORMAL
HIGH,HIGH,HIGH,True,NORMAL
HIGH,HIGH,HIGH,True,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,HIGH,HIGH,True,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,NORMAL,HIGH,True,NORMAL
NORMAL,HIGH,HIGH,True,HIGH
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,NORMAL,HIGH,True,LOW
NORMAL,HIGH,HIGH,False,NORMAL
LOW,LOW,HIGH,True,LOW
LOW,LOW,HIGH,True,LOW
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,HIGH,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
HIGH,LOW,HIGH,True,LOW
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,LOW,HIGH,True,LOW
NORMAL,HIGH,HIGH,False,NORMAL
LOW,HIGH,HIGH,False,NORMAL
HIGH,LOW,HIGH,True,LOW
NORMAL,HIGH,NORMAL,False,HIGH
LOW,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,LOW,NORMAL,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,LOW,NORMAL,True,LOW
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
HIGH,LOW,HIGH,True,LOW
LOW,LOW,HIGH,False,LOW
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,LOW,HIGH,True,LOW
HIGH,NORMAL,NORMAL,True,NORMAL
LOW,HIGH,HIGH,False,NORMAL
HIGH,HIGH,HIGH,False,NORMAL
LOW,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,LOW,HIGH,False,LOW
HIGH,LOW,HIGH,True,LOW
LOW,HIGH,HIGH,False,NORMAL
LOW,HIGH,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,True,NORMAL
LOW,LOW,HIGH,False,LOW
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,LOW,HIGH,True,LOW
LOW,NORMAL,HIGH,False,LOW
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,HIGH,HIGH,True,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,HIGH
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
HIGH,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
LOW,HIGH,HIGH,False,NORMAL
HIGH,LOW,NORMAL,True,LOW
HIGH,LOW,HIGH,True,LOW
NORMAL,NORMAL,HIGH,False,NORMAL
HIGH,HIGH,HIGH,True,NORMAL
LOW,LOW,HIGH,False,LOW
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
LOW,NORMAL,HIGH,True,LOW
HIGH,NORMAL,HIGH,True,LOW
HIGH,LOW,HIGH,True,LOW
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,HIGH,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
LOW,LOW,HIGH,False,LOW
HIGH,NORMAL,NORMAL,True,NORMAL
LOW,LOW,HIGH,False,LOW
NORMAL,NORMAL,HIGH,True,NORMAL
NORMAL,HIGH,HIGH,False,HIGH
NORMAL,LOW,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
LOW,LOW,HIGH,False,LOW
HIGH,HIGH,HIGH,True,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,LOW,NORMAL,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
LOW,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
LOW,LOW,HIGH,False,LOW
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,HIGH,HIGH,True,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,HIGH,HIGH,True,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,NORMAL,False,NORMAL
NORMAL,LOW,HIGH,False,LOW
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,HIGH
LOW,LOW,HIGH,False,LOW
NORMAL,HIGH,HIGH,False,NORMAL
LOW,LOW,HIGH,False,LOW
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,NORMAL,HIGH,True,LOW
LOW,NORMAL,NORMAL,False,LOW
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,LOW,HIGH,False,LOW
HIGH,HIGH,HIGH,True,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,LOW,NORMAL,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,NORMAL,False,HIGH
NORMAL,LOW,LOW,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,LOW,HIGH,False,LOW
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,LOW,NORMAL,True,LOW
LOW,LOW,HIGH,True,LOW
HIGH,HIGH,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,HIGH
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,LOW,HIGH,True,LOW
LOW,LOW,NORMAL,True,LOW
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,LOW,HIGH,True,LOW
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
HIGH,LOW,NORMAL,True,LOW
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,HIGH,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,HIGH,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,True,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,HIGH,HIGH,True,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,HIGH,HIGH,True,NORMAL
LOW,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,LOW,HIGH,True,LOW
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,HIGH,HIGH,True,LOW
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,HIGH,HIGH,True,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,NORMAL,HIGH,True,LOW
NORMAL,HIGH,HIGH,False,NORMAL
LOW,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,LOW,HIGH,False,LOW
HIGH,HIGH,HIGH,True,NORMAL
LOW,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,LOW,HIGH,True,LOW
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,LOW,NORMAL,True,LOW
HIGH,LOW,HIGH,True,LOW
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,HIGH,HIGH,False,NORMAL
HIGH,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
LOW,LOW,HIGH,False,LOW
HIGH,LOW,NORMAL,False,NORMAL
NORMAL,LOW,HIGH,False,LOW
HIGH,HIGH,HIGH,True,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
LOW,LOW,HIGH,False,LOW
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
HIGH,LOW,HIGH,True,LOW
HIGH,HIGH,HIGH,False,NORMAL
LOW,LOW,HIGH,True,LOW
NORMAL,HIGH,HIGH,False,NORMAL
LOW,HIGH,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
LOW,HIGH,HIGH,False,NORMAL
LOW,LOW,NORMAL,False,LOW
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
HIGH,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,HIGH
NORMAL,HIGH,HIGH,False,NORMAL
LOW,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,HIGH,HIGH,True,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,HIGH,HIGH,True,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
LOW,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
LOW,LOW,HIGH,False,LOW
NORMAL,NORMAL,NORMAL,False,NORMAL
HIGH,HIGH,HIGH,True,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
LOW,LOW,NORMAL,False,LOW
HIGH,HIGH,HIGH,True,NORMAL
LOW,HIGH,HIGH,False,NORMAL
HIGH,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,HIGH,HIGH,True,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
HIGH,LOW,HIGH,True,LOW
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,LOW,HIGH,True,LOW
NORMAL,HIGH,HIGH,False,HIGH
HIGH,LOW,HIGH,True,LOW
LOW,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,LOW,HIGH,True,LOW
HIGH,LOW,HIGH,True,LOW
NORMAL,HIGH,HIGH,False,HIGH
HIGH,HIGH,HIGH,True,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
HIGH,HIGH,HIGH,False,NORMAL
HIGH,HIGH,HIGH,True,NORMAL
NORMAL,HIGH,HIGH,False,HIGH
NORMAL,HIGH,HIGH,False,HIGH
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,HIGH
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,NORMAL,NORMAL,True,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,HIGH,HIGH,True,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
HIGH,LOW,HIGH,True,LOW
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,LOW,HIGH,True,LOW
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,HIGH
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,HIGH
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,HIGH,HIGH,True,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,LOW,HIGH,False,LOW
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
LOW,LOW,HIGH,True,LOW
NORMAL,LOW,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
LOW,LOW,LOW,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
HIGH,LOW,LOW,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
LOW,LOW,HIGH,False,LOW
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,NORMAL,NORMAL,True,NORMAL
HIGH,NORMAL,NORMAL,True,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,LOW,HIGH,True,LOW
NORMAL,LOW,HIGH,True,LOW
LOW,HIGH,HIGH,False,HIGH
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,NORMAL,NORMAL,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,LOW,HIGH,False,LOW
NORMAL,HIGH,HIGH,False,HIGH
HIGH,HIGH,HIGH,False,NORMAL
HIGH,HIGH,HIGH,True,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,LOW,NORMAL,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,HIGH,HIGH,True,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,NORMAL,NORMAL,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,LOW,NORMAL,False,LOW
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,HIGH,HIGH,True,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,HIGH,HIGH,False,HIGH
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,LOW,HIGH,False,LOW
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,LOW,NORMAL,False,LOW
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,HIGH,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
