INSUFFANESTH,LVFAILURE,LVEDVOLUME,CO,PCWP,SHUNT,HR,DISCONNECT,ERRLOWOUTPUT,HISTORY
False,False,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,False,False,False
False,False,HIGH,HIGH,HIGH,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,True,False,False
False,False,NORMAL,HIGH,NORMAL,HIGH,HIGH,False,False,False
False,False,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,True,False,False
False,False,NORMAL,LOW,NORMAL,NORMAL,LOW,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,True,LOW,NORMAL,LOW,NORMAL,HIGH,False,False,True
False,False,NORMAL,LOW,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,HIGH,LOW,HIGH,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,NORMAL,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,False,False,False
False,True,LOW,LOW,LOW,NORMAL,NORMAL,False,False,True
True,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,HIGH,HIGH,HIGH,NORMAL,HIGH,False,False,False
False,False,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,False,False,False
False,False,HIGH,HIGH,HIGH,NORMAL,HIGH,False,False,False
True,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,HIGH,HIGH,True,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,HIGH,LOW,HIGH,NORMAL,HIGH,False,False,False
False,False,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,False,False,False
True,False,HIGH,HIGH,HIGH,NORMAL,HIGH,False,False,False
False,False,HIGH,HIGH,HIGH,NORMAL,HIGH,False,True,False
False,False,HIGH,HIGH,HIGH,NORMAL,HIGH,True,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,LOW,HIGH,HIGH,False,False,False
False,False,HIGH,HIGH,HIGH,HIGH,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,HIGH,HIGH,False,False,False
False,False,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,False,False,False
False,False,NORMAL,NORMAL,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,HIGH,NORMAL,HIGH,NORMAL,HIGH,True,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,True,LOW,LOW,LOW,NORMAL,HIGH,False,False,True
False,True,LOW,LOW,LOW,NORMAL,HIGH,False,False,True
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,HIGH,HIGH,HIGH,HIGH,HIGH,False,False,False
False,False,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,True,False,False
False,False,HIGH,LOW,HIGH,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,LOW,NORMAL,HIGH,False,False,False
True,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,LOW,HIGH,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,HIGH,LOW,HIGH,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,True,True,False
False,False,LOW,HIGH,LOW,NORMAL,HIGH,False,False,False
False,False,HIGH,LOW,HIGH,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,True,False,False
False,False,LOW,HIGH,LOW,NORMAL,HIGH,False,False,False
True,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,HIGH,HIGH,HIGH,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,LOW,NORMAL,HIGH,NORMAL,False,True,False
True,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,True,False
True,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,HIGH,HIGH,False,False,False
False,False,HIGH,LOW,HIGH,HIGH,NORMAL,False,False,False
False,False,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,False,False,False
False,False,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,True,False,False
False,False,HIGH,LOW,HIGH,NORMAL,HIGH,False,False,False
False,True,LOW,LOW,LOW,NORMAL,HIGH,False,False,True
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,HIGH,LOW,HIGH,NORMAL,HIGH,False,True,False
True,False,HIGH,NORMAL,HIGH,NORMAL,NORMAL,False,False,False
False,False,LOW,HIGH,LOW,NORMAL,HIGH,False,False,False
False,False,HIGH,HIGH,HIGH,NORMAL,HIGH,False,False,False
False,False,LOW,HIGH,LOW,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
True,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,True,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,LOW,NORMAL,NORMAL,HIGH,False,False,False
False,False,HIGH,LOW,HIGH,NORMAL,HIGH,False,False,False
False,False,LOW,HIGH,LOW,NORMAL,HIGH,False,False,False
False,False,LOW,HIGH,LOW,NORMAL,HIGH,False,False,True
True,False,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,False,False,False
True,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
True,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,HIGH,HIGH,True,True,False
False,False,LOW,LOW,LOW,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,HIGH,NORMAL,HIGH,False,False,False
False,True,NORMAL,LOW,NORMAL,NORMAL,HIGH,False,False,True
False,True,LOW,NORMAL,LOW,NORMAL,HIGH,False,False,True
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,HIGH,HIGH,HIGH,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,True,False
False,False,HIGH,HIGH,HIGH,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,LOW,NORMAL,HIGH,False,False,False
False,False,NORMAL,NORMAL,LOW,NORMAL,NORMAL,False,False,False
False,False,HIGH,HIGH,HIGH,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,HIGH,NORMAL,HIGH,False,False,False
False,False,LOW,HIGH,LOW,HIGH,HIGH,False,False,False
False,False,HIGH,LOW,HIGH,NORMAL,NORMAL,False,False,False
False,False,HIGH,LOW,HIGH,NORMAL,HIGH,False,False,False
False,False,NORMAL,NORMAL,NORMAL,NORMAL,HIGH,False,False,False
False,False,HIGH,HIGH,HIGH,NORMAL,HIGH,False,False,False
False,True,LOW,LOW,LOW,NORMAL,HIGH,False,False,True
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,True,LOW,NORMAL,LOW,NORMAL,HIGH,False,False,False
False,False,HIGH,NORMAL,HIGH,NORMAL,HIGH,False,False,False
False,False,HIGH,LOW,HIGH,NORMAL,HIGH,False,False,False
False,False,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,HIGH,HIGH,HIGH,NORMAL,HIGH,False,False,False
False,False,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,False,False,False
False,False,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,False,False,False
False,False,NORMAL,HIGH,NORMAL,HIGH,HIGH,True,False,False
False,False,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,HIGH,HIGH,False,False,False
False,True,LOW,LOW,LOW,NORMAL,HIGH,False,False,True
False,False,HIGH,NORMAL,HIGH,NORMAL,NORMAL,False,False,False
False,True,LOW,LOW,LOW,NORMAL,HIGH,False,False,True
False,False,NORMAL,NORMAL,NORMAL,NORMAL,HIGH,False,False,False
True,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,LOW,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,True,LOW,LOW,LOW,NORMAL,HIGH,False,False,True
False,False,HIGH,HIGH,HIGH,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,True,False,False
True,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,LOW,NORMAL,NORMAL,NORMAL,False,False,False
False,False,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,LOW,HIGH,LOW,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,False,False,False
False,False,NORMAL,HIGH,NORMAL,HIGH,HIGH,False,False,False
False,True,LOW,LOW,LOW,NORMAL,HIGH,False,False,True
False,False,NORMAL,NORMAL,LOW,NORMAL,NORMAL,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,HIGH,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
True,False,HIGH,HIGH,HIGH,NORMAL,HIGH,True,False,False
False,False,NORMAL,HIGH,LOW,HIGH,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,False,False,False
False,False,NORMAL,LOW,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,LOW,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
True,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,True,False,False
False,False,NORMAL,HIGH,NORMAL,HIGH,HIGH,True,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,True,LOW,LOW,LOW,NORMAL,HIGH,False,False,True
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,True
False,True,LOW,LOW,LOW,NORMAL,HIGH,False,False,True
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,True,HIGH,NORMAL,HIGH,HIGH,HIGH,False,False,True
False,True,LOW,NORMAL,LOW,NORMAL,NORMAL,False,False,True
False,False,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,True,True,False
True,False,NORMAL,LOW,LOW,NORMAL,HIGH,False,False,True
False,False,HIGH,HIGH,HIGH,NORMAL,HIGH,False,False,False
False,False,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,False,False,False
False,False,NORMAL,LOW,NORMAL,NORMAL,NORMAL,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,False,False,False
True,False,NORMAL,LOW,NORMAL,NORMAL,LOW,False,False,False
False,False,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,False,False,False
False,False,NORMAL,LOW,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,HIGH,HIGH,HIGH,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,True,False,False
False,False,NORMAL,NORMAL,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
True,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,HIGH,LOW,NORMAL,HIGH,NORMAL,False,False,False
False,False,LOW,LOW,LOW,NORMAL,HIGH,False,False,False
False,False,HIGH,HIGH,HIGH,NORMAL,HIGH,False,False,False
False,False,NORMAL,NORMAL,LOW,NORMAL,NORMAL,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,HIGH,HIGH,False,False,False
False,False,HIGH,LOW,HIGH,NORMAL,HIGH,False,False,False
False,True,LOW,LOW,LOW,HIGH,NORMAL,False,False,True
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,True,False
True,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,HIGH,LOW,HIGH,NORMAL,HIGH,False,False,False
False,False,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,False,True,False
True,False,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,False,False,False
True,False,HIGH,LOW,HIGH,NORMAL,NORMAL,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,HIGH,HIGH,HIGH,NORMAL,HIGH,False,False,False
False,False,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,False,False,False
False,False,NORMAL,HIGH,HIGH,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
True,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,True,False,False
False,False,HIGH,HIGH,HIGH,HIGH,HIGH,False,False,False
False,False,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,True,False,False
False,False,HIGH,HIGH,HIGH,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,HIGH,HIGH,HIGH,NORMAL,HIGH,False,False,False
False,True,LOW,HIGH,LOW,NORMAL,HIGH,False,False,True
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,True,False,False
False,False,NORMAL,HIGH,NORMAL,HIGH,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,True,False,False
True,False,NORMAL,HIGH,NORMAL,HIGH,HIGH,False,False,False
False,False,NORMAL,LOW,NORMAL,NORMAL,HIGH,False,False,False
True,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,HIGH,HIGH,False,False,False
False,False,HIGH,HIGH,HIGH,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
True,False,NORMAL,HIGH,NORMAL,HIGH,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,HIGH,HIGH,HIGH,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,True
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
True,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,HIGH,NORMAL,HIGH,NORMAL,HIGH,False,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,HIGH,False,False,False
False,False,LOW,HIGH,LOW,NORMAL,HIGH,False,False,False
