LVEDVOLUME,HYPOVOLEMIA,STROKEVOLUME
HIGH,True,NORMAL
HIGH,True,NORMAL
HIGH,True,LOW
HIGH,True,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,NORMAL
NORMAL,False,NORMAL
NORMAL,False,LOW
HIGH,True,NORMAL
NORMAL,False,HIGH
NORMAL,False,HIGH
HIGH,True,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,LOW
HIGH,True,LOW
NORMAL,False,NORMAL
HIGH,True,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,HIGH
NORMAL,False,NORMAL
HIGH,True,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
LOW,False,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,LOW
NORMAL,False,NORMAL
NORMAL,True,NORMAL
NORMAL,False,NORMAL
LOW,True,LOW
NORMAL,False,NORMAL
HIGH,True,NORMAL
NORMAL,False,NORMAL
HIGH,True,NORMAL
NORMAL,True,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,LOW
NORMAL,False,NORMAL
HIGH,True,NORMAL
HIGH,True,NORMAL
HIGH,True,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,True,NORMAL
NORMAL,True,HIGH
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,LOW
NORMAL,False,NORMAL
LOW,True,LOW
LOW,True,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,LOW
NORMAL,False,NORMAL
LOW,False,NORMAL
HIGH,True,LOW
NORMAL,False,HIGH
LOW,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,LOW
LOW,False,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,LOW
HIGH,True,NORMAL
LOW,False,NORMAL
HIGH,False,NORMAL
LOW,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,LOW
HIGH,True,LOW
LOW,False,NORMAL
LOW,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,True,NORMAL
LOW,False,LOW
NORMAL,False,NORMAL
NORMAL,True,LOW
LOW,False,LOW
NORMAL,False,NORMAL
HIGH,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,NORMAL
NORMAL,False,NORMAL
NORMAL,False,HIGH
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
LOW,False,NORMAL
HIGH,True,LOW
HIGH,True,LOW
NORMAL,False,NORMAL
HIGH,True,NORMAL
LOW,False,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
LOW,True,LOW
HIGH,True,LOW
HIGH,True,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
LOW,False,LOW
HIGH,True,NORMAL
LOW,False,LOW
NORMAL,True,NORMAL
NORMAL,False,HIGH
NORMAL,False,NORMAL
NORMAL,False,NORMAL
LOW,False,LOW
HIGH,True,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
LOW,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
LOW,False,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,HIGH
LOW,False,LOW
NORMAL,False,NORMAL
LOW,False,LOW
NORMAL,False,NORMAL
HIGH,True,LOW
LOW,False,LOW
NORMAL,False,NORMAL
NORMAL,False,LOW
HIGH,True,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,HIGH
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,LOW
LOW,True,LOW
HIGH,False,NORMAL
NORMAL,False,HIGH
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,LOW
LOW,True,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,LOW
NORMAL,False,NORMAL
HIGH,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,False,NORMAL
NORMAL,True,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,NORMAL
LOW,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,True,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,LOW
NORMAL,False,NORMAL
LOW,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,LOW
HIGH,True,NORMAL
LOW,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,LOW
HIGH,True,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,False,NORMAL
HIGH,False,NORMAL
NORMAL,False,NORMAL
LOW,False,LOW
HIGH,False,NORMAL
NORMAL,False,LOW
HIGH,True,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
LOW,False,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,LOW
HIGH,False,NORMAL
LOW,True,LOW
NORMAL,False,NORMAL
LOW,False,NORMAL
NORMAL,False,NORMAL
LOW,False,NORMAL
LOW,False,LOW
NORMAL,False,NORMAL
HIGH,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,HIGH
NORMAL,False,NORMAL
LOW,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,NORMAL
NORMAL,False,NORMAL
HIGH,True,NORMAL
NORMAL,False,NORMAL
LOW,False,NORMAL
NORMAL,False,NORMAL
LOW,False,LOW
NORMAL,False,NORMAL
HIGH,True,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
LOW,False,LOW
HIGH,True,NORMAL
LOW,False,NORMAL
HIGH,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,LOW
NORMAL,False,HIGH
HIGH,True,LOW
LOW,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,LOW
HIGH,True,LOW
NORMAL,False,HIGH
HIGH,True,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,False,NORMAL
HIGH,True,NORMAL
NORMAL,False,HIGH
NORMAL,False,HIGH
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,HIGH
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,LOW
NORMAL,False,NORMAL
HIGH,True,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,HIGH
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,HIGH
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
LOW,True,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
LOW,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,False,NORMAL
NORMAL,False,NORMAL
LOW,False,LOW
NORMAL,False,NORMAL
HIGH,True,NORMAL
HIGH,True,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,LOW
NORMAL,True,LOW
LOW,False,HIGH
NORMAL,False,NORMAL
HIGH,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,LOW
NORMAL,False,HIGH
HIGH,False,NORMAL
HIGH,True,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,LOW
NORMAL,False,NORMAL
HIGH,True,NORMAL
NORMAL,False,NORMAL
NORMAL,False,HIGH
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,LOW
NORMAL,False,NORMAL
NORMAL,False,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,LOW
HIGH,False,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,LOW
NORMAL,False,NORMAL
NORMAL,False,HIGH
NORMAL,False,NORMAL
NORMAL,False,NORMAL
LOW,False,NORMAL
HIGH,True,LOW
HIGH,True,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
LOW,True,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
LOW,False,LOW
NORMAL,False,HIGH
NORMAL,False,NORMAL
NORMAL,False,LOW
LOW,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,LOW
NORMAL,False,NORMAL
HIGH,True,LOW
HIGH,True,NORMAL
HIGH,True,LOW
HIGH,False,NORMAL
NORMAL,False,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,NORMAL
NORMAL,False,NORMAL
NORMAL,False,LOW
HIGH,True,LOW
HIGH,True,NORMAL
NORMAL,False,NORMAL
LOW,False,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
LOW,False,NORMAL
HIGH,True,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,False,NORMAL
HIGH,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,True,LOW
LOW,False,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,True,LOW
NORMAL,False,NORMAL
LOW,False,LOW
HIGH,False,NORMAL
HIGH,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
LOW,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,LOW
HIGH,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,LOW
NORMAL,False,NORMAL
HIGH,True,NORMAL
LOW,False,HIGH
NORMAL,False,NORMAL
LOW,True,LOW
NORMAL,False,LOW
HIGH,True,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,HIGH
NORMAL,False,NORMAL
NORMAL,False,LOW
LOW,False,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,LOW
NORMAL,False,NORMAL
NORMAL,True,LOW
LOW,False,LOW
NORMAL,False,LOW
HIGH,True,NORMAL
HIGH,True,LOW
NORMAL,False,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,HIGH
NORMAL,False,NORMAL
NORMAL,True,LOW
HIGH,True,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,True,NORMAL
HIGH,False,NORMAL
HIGH,True,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
LOW,False,LOW
HIGH,True,NORMAL
HIGH,True,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,LOW
NORMAL,False,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
LOW,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,True,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
LOW,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,LOW
HIGH,True,NORMAL
NORMAL,False,NORMAL
NORMAL,False,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
LOW,False,LOW
NORMAL,False,NORMAL
HIGH,True,LOW
HIGH,False,NORMAL
HIGH,True,NORMAL
NORMAL,False,NORMAL
NORMAL,True,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,LOW
NORMAL,False,NORMAL
HIGH,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
LOW,False,NORMAL
HIGH,True,LOW
NORMAL,False,NORMAL
HIGH,True,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
LOW,False,NORMAL
NORMAL,False,NORMAL
LOW,True,LOW
NORMAL,False,NORMAL
LOW,False,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,NORMAL
NORMAL,False,HIGH
NORMAL,False,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
LOW,False,LOW
HIGH,True,LOW
NORMAL,False,NORMAL
HIGH,False,LOW
NORMAL,False,HIGH
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,NORMAL
NORMAL,False,NORMAL
HIGH,False,NORMAL
LOW,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,LOW
NORMAL,False,NORMAL
HIGH,True,LOW
NORMAL,False,LOW
NORMAL,False,NORMAL
LOW,False,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,HIGH
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
LOW,False,LOW
NORMAL,False,NORMAL
NORMAL,False,HIGH
NORMAL,False,NORMAL
HIGH,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,HIGH
HIGH,False,NORMAL
NORMAL,True,LOW
NORMAL,False,NORMAL
HIGH,True,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,LOW
NORMAL,False,NORMAL
LOW,False,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,False,NORMAL
HIGH,True,LOW
NORMAL,False,NORMAL
NORMAL,False,HIGH
NORMAL,False,NORMAL
NORMAL,True,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
LOW,False,LOW
NORMAL,False,HIGH
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,False,NORMAL
HIGH,True,LOW
HIGH,True,LOW
NORMAL,False,NORMAL
LOW,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
LOW,False,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,False,NORMAL
HIGH,True,LOW
HIGH,True,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,LOW
NORMAL,False,NORMAL
HIGH,True,LOW
NORMAL,False,NORMAL
LOW,True,LOW
HIGH,True,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,LOW
NORMAL,False,NORMAL
HIGH,True,LOW
HIGH,True,LOW
NORMAL,False,NORMAL
HIGH,True,LOW
NORMAL,False,HIGH
NORMAL,False,NORMAL
HIGH,True,NORMAL
HIGH,True,NORMAL
NORMAL,False,NORMAL
NORMAL,False,LOW
HIGH,True,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,NORMAL
NORMAL,False,NORMAL
LOW,True,LOW
HIGH,True,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,NORMAL
HIGH,True,NORMAL
NORMAL,False,NORMAL
LOW,True,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,False,NORMAL
HIGH,True,NORMAL
NORMAL,False,HIGH
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,NORMAL
NORMAL,False,HIGH
HIGH,True,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,True,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
HIGH,True,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,True,HIGH
HIGH,True,LOW
NORMAL,False,LOW
NORMAL,False,HIGH
NORMAL,False,NORMAL
NORMAL,False,HIGH
NORMAL,False,NORMAL
HIGH,True,NORMAL
LOW,False,NORMAL
LOW,False,LOW
NORMAL,True,NORMAL
NORMAL,False,NORMAL
NORMAL,False,HIGH
NORMAL,False,NORMAL
LOW,False,LOW
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
NORMAL,False,NORMAL
LOW,False,LOW
NORMAL,False,NORMAL
