B,D,E,F,G,H,I,J,N,O
Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,United-States,<=50K
Local-gov,Preschool,1,Never-married,Machine-op-inspct,Not-in-family,White,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Sales,Own-child,White,Female,United-States,<=50K
noValueSetHere123156456,10th,6,Divorced,noValueSetHere123156456,Not-in-family,Amer-Indian-Eskimo,Female,United-States,<=50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,<=50K
Private,Assoc-voc,11,Widowed,Adm-clerical,Not-in-family,White,Female,Columbia,<=50K
Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
Private,11th,7,Separated,Transport-moving,Not-in-family,Black,Male,United-States,<=50K
Private,HS-grad,9,Divorced,Sales,Unmarried,Black,Female,United-States,<=50K
Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,United-States,<=50K
Private,Some-college,10,Divorced,Craft-repair,Other-relative,Other,Female,United-States,<=50K
Private,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,>50K
State-gov,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,United-States,<=50K
State-gov,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,Iran,>50K
Local-gov,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,United-States,<=50K
State-gov,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,<=50K
noValueSetHere123156456,Some-college,10,Never-married,noValueSetHere123156456,Own-child,White,Male,United-States,<=50K
Private,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,noValueSetHere123156456,<=50K
Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,United-States,<=50K
Private,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,noValueSetHere123156456,<=50K
Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,>50K
Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,Black,Female,United-States,<=50K
Local-gov,10th,6,Widowed,Other-service,Unmarried,Black,Female,United-States,<=50K
Local-gov,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Transport-moving,Not-in-family,White,Male,United-States,<=50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,Cambodia,>50K
Private,HS-grad,9,Never-married,Other-service,Own-child,White,Female,United-States,<=50K
Private,HS-grad,9,Separated,Other-service,Not-in-family,White,Female,United-States,<=50K
Private,Assoc-voc,11,Widowed,Exec-managerial,Not-in-family,White,Female,United-States,<=50K
Private,7th-8th,4,Divorced,Craft-repair,Not-in-family,White,Male,United-States,<=50K
Private,Bachelors,13,Divorced,Prof-specialty,Own-child,White,Female,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
Private,11th,7,Never-married,Other-service,Own-child,White,Male,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
Private,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,Thailand,>50K
noValueSetHere123156456,Some-college,10,Never-married,noValueSetHere123156456,Own-child,White,Male,Canada,<=50K
Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Wife,White,Female,United-States,>50K
Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Private,9th,5,Never-married,Other-service,Own-child,White,Male,United-States,<=50K
Self-emp-not-inc,Masters,14,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,<=50K
Local-gov,Masters,14,Never-married,Prof-specialty,Own-child,White,Male,United-States,<=50K
Private,HS-grad,9,Divorced,Prof-specialty,Own-child,White,Female,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
Private,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female,United-States,<=50K
Private,Some-college,10,Never-married,Tech-support,Own-child,White,Female,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,United-States,>50K
Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,Germany,<=50K
Local-gov,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
Private,Assoc-acdm,12,Divorced,Sales,Unmarried,Black,Female,United-States,<=50K
Private,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,<=50K
Federal-gov,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Private,Some-college,10,Divorced,Other-service,Not-in-family,White,Male,United-States,<=50K
Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,United-States,<=50K
Private,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,Ecuador,<=50K
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Divorced,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
Local-gov,Bachelors,13,Never-married,Protective-serv,Not-in-family,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Sales,Own-child,White,Male,United-States,<=50K
Private,Bachelors,13,Never-married,Tech-support,Unmarried,Black,Female,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K
Self-emp-inc,Bachelors,13,Divorced,Sales,Not-in-family,White,Female,United-States,<=50K
noValueSetHere123156456,Masters,14,Married-civ-spouse,noValueSetHere123156456,Wife,Asian-Pac-Islander,Female,noValueSetHere123156456,<=50K
