J,L,O
Female,0,>50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Female,0,<=50K
Female,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,>50K
Male,0,<=50K
Male,0,>50K
Female,1762,<=50K
Male,1721,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,>50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,>50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,1902,>50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,1380,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,>50K
Female,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,2051,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,>50K
Male,0,>50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Female,0,<=50K
Female,0,<=50K
Male,2377,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,0,<=50K
Female,0,>50K
Male,0,<=50K
Male,0,<=50K
Female,0,>50K
Male,0,>50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Female,0,<=50K
Female,0,>50K
Male,0,<=50K
Female,0,<=50K
Female,0,>50K
Male,0,<=50K
Male,0,>50K
Male,0,>50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,>50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Female,1669,<=50K
Male,0,>50K
Male,0,<=50K
Female,0,>50K
Female,0,<=50K
Male,2352,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,1902,>50K
Male,0,<=50K
Male,1721,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,>50K
Male,0,>50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,1672,<=50K
Male,653,>50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,>50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Female,0,>50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Female,0,<=50K
Female,0,>50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,>50K
Male,2415,>50K
Male,0,<=50K
Male,0,>50K
Female,0,<=50K
Female,0,<=50K
Male,0,>50K
Female,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,>50K
Female,0,<=50K
Male,2415,>50K
Male,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Female,1977,>50K
Male,0,<=50K
Male,0,<=50K
Female,0,>50K
Male,0,>50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,>50K
Male,0,>50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,2392,>50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Female,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,1504,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,1902,>50K
Female,0,>50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,>50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Female,0,>50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,1719,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,2001,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Female,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,1902,>50K
Male,0,<=50K
Male,0,>50K
Male,0,>50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,1902,>50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,1977,>50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,1902,>50K
Male,0,>50K
Female,1902,>50K
Male,0,<=50K
Male,0,<=50K
Female,1590,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,>50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,>50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,1977,>50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,1651,<=50K
Male,0,<=50K
Female,0,>50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,>50K
Female,0,>50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,2415,>50K
Male,0,<=50K
Male,0,<=50K
Female,0,>50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,>50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,>50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Female,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,>50K
Female,1977,>50K
Female,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Female,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,>50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Female,0,>50K
Male,0,>50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,1902,>50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Female,0,<=50K
Female,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,>50K
Female,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,1762,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,1887,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,1977,>50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,1876,<=50K
Female,0,>50K
Male,0,>50K
Male,0,<=50K
Female,0,>50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,1628,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,>50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,>50K
Male,0,>50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,>50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Female,0,>50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,>50K
Male,0,>50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,1848,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Female,0,<=50K
Female,0,<=50K
Female,0,<=50K
Female,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,1564,>50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,1887,>50K
Female,1762,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Female,0,>50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Female,0,>50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
