UniqueCarrier,Carrier
WN,WN
MQ,MQ
EV,EV
AA,AA
WN,WN
AA,AA
B6,B6
MQ,MQ
UA,UA
MQ,MQ
AA,AA
AA,AA
OO,OO
EV,EV
AA,AA
MQ,MQ
UA,UA
US,US
MQ,MQ
MQ,MQ
WN,WN
B6,B6
US,US
UA,UA
F9,F9
MQ,MQ
OO,OO
WN,WN
EV,EV
US,US
WN,WN
F9,F9
AA,AA
AA,AA
AA,AA
AA,AA
OO,OO
MQ,MQ
US,US
MQ,MQ
OO,OO
EV,EV
F9,F9
AA,AA
WN,WN
DL,DL
MQ,MQ
WN,WN
MQ,MQ
WN,WN
WN,WN
DL,DL
MQ,MQ
EV,EV
EV,EV
WN,WN
OO,OO
WN,WN
YV,YV
MQ,MQ
OO,OO
UA,UA
DL,DL
UA,UA
WN,WN
DL,DL
WN,WN
AS,AS
US,US
MQ,MQ
YV,YV
UA,UA
US,US
WN,WN
UA,UA
WN,WN
EV,EV
B6,B6
DL,DL
YV,YV
AA,AA
MQ,MQ
EV,EV
UA,UA
EV,EV
DL,DL
WN,WN
UA,UA
OO,OO
WN,WN
MQ,MQ
OO,OO
UA,UA
AA,AA
DL,DL
EV,EV
YV,YV
HA,HA
HA,HA
MQ,MQ
WN,WN
YV,YV
DL,DL
US,US
WN,WN
DL,DL
AA,AA
EV,EV
WN,WN
EV,EV
YV,YV
OO,OO
MQ,MQ
WN,WN
HA,HA
MQ,MQ
WN,WN
EV,EV
AA,AA
DL,DL
AA,AA
MQ,MQ
EV,EV
DL,DL
WN,WN
UA,UA
EV,EV
OO,OO
AS,AS
MQ,MQ
MQ,MQ
OO,OO
AA,AA
DL,DL
EV,EV
WN,WN
WN,WN
WN,WN
UA,UA
WN,WN
EV,EV
MQ,MQ
WN,WN
US,US
MQ,MQ
DL,DL
OO,OO
EV,EV
DL,DL
US,US
MQ,MQ
EV,EV
WN,WN
DL,DL
US,US
US,US
B6,B6
EV,EV
OO,OO
WN,WN
WN,WN
MQ,MQ
WN,WN
UA,UA
B6,B6
YV,YV
US,US
AA,AA
UA,UA
UA,UA
WN,WN
AA,AA
WN,WN
EV,EV
WN,WN
WN,WN
OO,OO
DL,DL
WN,WN
AA,AA
EV,EV
FL,FL
DL,DL
EV,EV
US,US
MQ,MQ
EV,EV
DL,DL
US,US
US,US
EV,EV
UA,UA
MQ,MQ
FL,FL
UA,UA
US,US
DL,DL
OO,OO
EV,EV
OO,OO
AA,AA
EV,EV
YV,YV
DL,DL
MQ,MQ
AA,AA
B6,B6
B6,B6
B6,B6
OO,OO
DL,DL
OO,OO
WN,WN
DL,DL
WN,WN
OO,OO
DL,DL
WN,WN
WN,WN
UA,UA
B6,B6
US,US
HA,HA
AA,AA
WN,WN
MQ,MQ
UA,UA
EV,EV
WN,WN
EV,EV
WN,WN
DL,DL
UA,UA
YV,YV
EV,EV
AA,AA
OO,OO
UA,UA
OO,OO
HA,HA
EV,EV
OO,OO
AA,AA
AS,AS
EV,EV
WN,WN
AA,AA
DL,DL
UA,UA
OO,OO
AS,AS
DL,DL
OO,OO
FL,FL
DL,DL
UA,UA
AA,AA
DL,DL
OO,OO
B6,B6
US,US
AA,AA
EV,EV
OO,OO
WN,WN
AA,AA
B6,B6
EV,EV
EV,EV
WN,WN
US,US
WN,WN
UA,UA
AA,AA
OO,OO
UA,UA
B6,B6
AS,AS
UA,UA
EV,EV
US,US
AS,AS
F9,F9
WN,WN
EV,EV
YV,YV
EV,EV
EV,EV
OO,OO
YV,YV
EV,EV
WN,WN
DL,DL
US,US
AA,AA
UA,UA
B6,B6
UA,UA
AA,AA
DL,DL
YV,YV
UA,UA
AA,AA
WN,WN
AA,AA
EV,EV
DL,DL
AA,AA
UA,UA
YV,YV
WN,WN
EV,EV
OO,OO
OO,OO
FL,FL
MQ,MQ
EV,EV
WN,WN
AA,AA
AS,AS
WN,WN
WN,WN
WN,WN
AA,AA
FL,FL
MQ,MQ
MQ,MQ
DL,DL
DL,DL
AS,AS
US,US
FL,FL
EV,EV
B6,B6
WN,WN
UA,UA
WN,WN
DL,DL
WN,WN
YV,YV
FL,FL
EV,EV
OO,OO
MQ,MQ
DL,DL
DL,DL
WN,WN
DL,DL
AA,AA
EV,EV
YV,YV
UA,UA
YV,YV
WN,WN
AA,AA
FL,FL
MQ,MQ
WN,WN
MQ,MQ
AA,AA
DL,DL
US,US
DL,DL
DL,DL
MQ,MQ
WN,WN
US,US
EV,EV
EV,EV
EV,EV
US,US
MQ,MQ
WN,WN
AA,AA
AA,AA
DL,DL
EV,EV
US,US
WN,WN
WN,WN
US,US
UA,UA
OO,OO
AA,AA
MQ,MQ
EV,EV
OO,OO
AA,AA
OO,OO
YV,YV
EV,EV
EV,EV
US,US
EV,EV
WN,WN
EV,EV
EV,EV
DL,DL
AS,AS
WN,WN
MQ,MQ
WN,WN
B6,B6
WN,WN
B6,B6
UA,UA
US,US
OO,OO
AA,AA
YV,YV
MQ,MQ
UA,UA
EV,EV
EV,EV
MQ,MQ
DL,DL
AS,AS
WN,WN
WN,WN
EV,EV
MQ,MQ
DL,DL
OO,OO
DL,DL
EV,EV
UA,UA
UA,UA
EV,EV
EV,EV
B6,B6
AA,AA
WN,WN
UA,UA
EV,EV
YV,YV
WN,WN
EV,EV
AA,AA
FL,FL
EV,EV
UA,UA
MQ,MQ
DL,DL
YV,YV
WN,WN
US,US
B6,B6
OO,OO
AA,AA
WN,WN
MQ,MQ
WN,WN
AA,AA
OO,OO
US,US
DL,DL
AA,AA
AA,AA
AA,AA
OO,OO
B6,B6
AA,AA
OO,OO
YV,YV
EV,EV
US,US
OO,OO
OO,OO
MQ,MQ
WN,WN
DL,DL
AA,AA
EV,EV
EV,EV
US,US
AA,AA
UA,UA
B6,B6
AS,AS
WN,WN
OO,OO
AA,AA
DL,DL
WN,WN
AA,AA
EV,EV
WN,WN
DL,DL
AS,AS
EV,EV
US,US
US,US
WN,WN
DL,DL
F9,F9
MQ,MQ
UA,UA
OO,OO
AA,AA
EV,EV
VX,VX
AS,AS
UA,UA
US,US
AA,AA
EV,EV
MQ,MQ
AA,AA
WN,WN
MQ,MQ
MQ,MQ
WN,WN
US,US
DL,DL
AA,AA
US,US
UA,UA
DL,DL
EV,EV
MQ,MQ
EV,EV
AA,AA
UA,UA
EV,EV
AS,AS
US,US
FL,FL
EV,EV
DL,DL
US,US
OO,OO
EV,EV
MQ,MQ
EV,EV
YV,YV
WN,WN
DL,DL
AS,AS
EV,EV
OO,OO
UA,UA
B6,B6
FL,FL
MQ,MQ
AA,AA
UA,UA
EV,EV
FL,FL
EV,EV
AS,AS
DL,DL
OO,OO
AS,AS
AA,AA
UA,UA
B6,B6
AA,AA
AA,AA
MQ,MQ
US,US
AA,AA
MQ,MQ
AA,AA
OO,OO
WN,WN
UA,UA
WN,WN
OO,OO
WN,WN
FL,FL
EV,EV
EV,EV
B6,B6
MQ,MQ
DL,DL
EV,EV
MQ,MQ
YV,YV
DL,DL
US,US
FL,FL
EV,EV
AA,AA
UA,UA
YV,YV
UA,UA
FL,FL
B6,B6
UA,UA
MQ,MQ
DL,DL
WN,WN
UA,UA
OO,OO
AA,AA
DL,DL
AA,AA
AA,AA
UA,UA
AA,AA
AA,AA
US,US
EV,EV
EV,EV
US,US
AA,AA
WN,WN
DL,DL
OO,OO
WN,WN
OO,OO
AA,AA
EV,EV
B6,B6
UA,UA
DL,DL
EV,EV
MQ,MQ
EV,EV
UA,UA
WN,WN
YV,YV
OO,OO
DL,DL
EV,EV
OO,OO
DL,DL
US,US
WN,WN
OO,OO
AA,AA
OO,OO
WN,WN
F9,F9
EV,EV
EV,EV
UA,UA
MQ,MQ
DL,DL
OO,OO
AS,AS
WN,WN
DL,DL
OO,OO
WN,WN
OO,OO
DL,DL
UA,UA
US,US
UA,UA
OO,OO
WN,WN
WN,WN
OO,OO
B6,B6
US,US
AA,AA
MQ,MQ
VX,VX
AA,AA
US,US
EV,EV
OO,OO
WN,WN
B6,B6
DL,DL
WN,WN
EV,EV
OO,OO
AS,AS
EV,EV
UA,UA
AA,AA
OO,OO
EV,EV
US,US
OO,OO
WN,WN
UA,UA
UA,UA
OO,OO
US,US
AA,AA
DL,DL
EV,EV
EV,EV
HA,HA
OO,OO
OO,OO
MQ,MQ
F9,F9
AS,AS
EV,EV
WN,WN
MQ,MQ
AS,AS
MQ,MQ
VX,VX
OO,OO
OO,OO
OO,OO
EV,EV
F9,F9
DL,DL
HA,HA
AA,AA
UA,UA
FL,FL
WN,WN
MQ,MQ
WN,WN
WN,WN
B6,B6
DL,DL
EV,EV
AS,AS
WN,WN
WN,WN
WN,WN
AA,AA
DL,DL
YV,YV
MQ,MQ
WN,WN
DL,DL
WN,WN
WN,WN
B6,B6
WN,WN
US,US
AA,AA
UA,UA
MQ,MQ
AS,AS
WN,WN
FL,FL
WN,WN
EV,EV
F9,F9
EV,EV
DL,DL
EV,EV
EV,EV
DL,DL
AA,AA
WN,WN
US,US
MQ,MQ
OO,OO
WN,WN
B6,B6
OO,OO
OO,OO
AA,AA
EV,EV
UA,UA
UA,UA
YV,YV
UA,UA
DL,DL
OO,OO
AA,AA
EV,EV
DL,DL
FL,FL
EV,EV
DL,DL
WN,WN
WN,WN
OO,OO
WN,WN
WN,WN
DL,DL
WN,WN
AS,AS
US,US
OO,OO
B6,B6
OO,OO
EV,EV
DL,DL
AA,AA
UA,UA
AA,AA
FL,FL
WN,WN
EV,EV
UA,UA
WN,WN
VX,VX
MQ,MQ
OO,OO
DL,DL
UA,UA
EV,EV
UA,UA
EV,EV
WN,WN
WN,WN
AA,AA
FL,FL
FL,FL
EV,EV
OO,OO
WN,WN
MQ,MQ
US,US
EV,EV
EV,EV
WN,WN
EV,EV
EV,EV
UA,UA
DL,DL
AA,AA
FL,FL
UA,UA
AA,AA
OO,OO
OO,OO
WN,WN
FL,FL
UA,UA
EV,EV
WN,WN
DL,DL
MQ,MQ
WN,WN
EV,EV
MQ,MQ
MQ,MQ
EV,EV
B6,B6
B6,B6
MQ,MQ
OO,OO
MQ,MQ
AS,AS
AA,AA
UA,UA
WN,WN
DL,DL
FL,FL
WN,WN
AA,AA
MQ,MQ
OO,OO
EV,EV
EV,EV
YV,YV
AA,AA
UA,UA
EV,EV
OO,OO
EV,EV
EV,EV
OO,OO
AA,AA
WN,WN
WN,WN
EV,EV
WN,WN
DL,DL
DL,DL
WN,WN
FL,FL
AA,AA
MQ,MQ
AA,AA
AA,AA
F9,F9
UA,UA
EV,EV
AA,AA
US,US
WN,WN
WN,WN
MQ,MQ
WN,WN
EV,EV
WN,WN
OO,OO
WN,WN
AS,AS
MQ,MQ
AA,AA
AA,AA
US,US
DL,DL
EV,EV
B6,B6
US,US
US,US
WN,WN
WN,WN
OO,OO
B6,B6
MQ,MQ
MQ,MQ
WN,WN
OO,OO
B6,B6
EV,EV
UA,UA
WN,WN
AA,AA
US,US
AA,AA
OO,OO
OO,OO
FL,FL
AA,AA
AA,AA
WN,WN
WN,WN
OO,OO
HA,HA
AA,AA
EV,EV
OO,OO
WN,WN
DL,DL
YV,YV
AA,AA
OO,OO
WN,WN
UA,UA
EV,EV
WN,WN
WN,WN
FL,FL
US,US
FL,FL
WN,WN
HA,HA
US,US
EV,EV
EV,EV
UA,UA
MQ,MQ
OO,OO
EV,EV
EV,EV
UA,UA
F9,F9
WN,WN
US,US
DL,DL
AA,AA
WN,WN
UA,UA
EV,EV
OO,OO
OO,OO
EV,EV
DL,DL
AA,AA
DL,DL
EV,EV
MQ,MQ
US,US
OO,OO
WN,WN
AA,AA
DL,DL
WN,WN
US,US
YV,YV
EV,EV
MQ,MQ
AA,AA
MQ,MQ
US,US
EV,EV
FL,FL
DL,DL
WN,WN
AS,AS
FL,FL
US,US
DL,DL
WN,WN
EV,EV
F9,F9
MQ,MQ
AA,AA
MQ,MQ
DL,DL
OO,OO
B6,B6
MQ,MQ
DL,DL
AS,AS
OO,OO
MQ,MQ
EV,EV
EV,EV
US,US
FL,FL
MQ,MQ
OO,OO
WN,WN
YV,YV
DL,DL
UA,UA
WN,WN
FL,FL
EV,EV
WN,WN
DL,DL
UA,UA
WN,WN
OO,OO
EV,EV
WN,WN
AA,AA
US,US
WN,WN
MQ,MQ
F9,F9
AA,AA
B6,B6
WN,WN
YV,YV
FL,FL
DL,DL
WN,WN
WN,WN
WN,WN
EV,EV
YV,YV
MQ,MQ
DL,DL
EV,EV
B6,B6
WN,WN
WN,WN
OO,OO
DL,DL
UA,UA
WN,WN
UA,UA
MQ,MQ
US,US
AA,AA
UA,UA
EV,EV
WN,WN
EV,EV
EV,EV
EV,EV
FL,FL
MQ,MQ
UA,UA
OO,OO
UA,UA
DL,DL
B6,B6
US,US
EV,EV
DL,DL
EV,EV
WN,WN
YV,YV
UA,UA
UA,UA
DL,DL
B6,B6
YV,YV
OO,OO
OO,OO
DL,DL
AA,AA
WN,WN
OO,OO
WN,WN
US,US
UA,UA
VX,VX
MQ,MQ
DL,DL
B6,B6
YV,YV
B6,B6
AS,AS
UA,UA
WN,WN
EV,EV
US,US
OO,OO
EV,EV
FL,FL
EV,EV
WN,WN
AS,AS
YV,YV
HA,HA
YV,YV
DL,DL
DL,DL
EV,EV
MQ,MQ
DL,DL
WN,WN
OO,OO
FL,FL
B6,B6
OO,OO
DL,DL
US,US
UA,UA
B6,B6
DL,DL
US,US
F9,F9
EV,EV
UA,UA
OO,OO
DL,DL
AA,AA
UA,UA
DL,DL
YV,YV
EV,EV
DL,DL
AA,AA
EV,EV
WN,WN
UA,UA
EV,EV
DL,DL
AA,AA
WN,WN
EV,EV
OO,OO
UA,UA
UA,UA
US,US
WN,WN
AA,AA
WN,WN
AA,AA
EV,EV
EV,EV
WN,WN
DL,DL
DL,DL
HA,HA
WN,WN
UA,UA
UA,UA
UA,UA
WN,WN
MQ,MQ
F9,F9
OO,OO
WN,WN
DL,DL
OO,OO
UA,UA
EV,EV
US,US
DL,DL
WN,WN
US,US
MQ,MQ
YV,YV
DL,DL
WN,WN
MQ,MQ
EV,EV
WN,WN
UA,UA
US,US
B6,B6
DL,DL
WN,WN
AA,AA
DL,DL
B6,B6
MQ,MQ
EV,EV
MQ,MQ
YV,YV
WN,WN
WN,WN
EV,EV
WN,WN
US,US
AA,AA
AA,AA
EV,EV
DL,DL
OO,OO
US,US
US,US
AA,AA
EV,EV
WN,WN
YV,YV
OO,OO
DL,DL
AA,AA
UA,UA
DL,DL
WN,WN
AA,AA
MQ,MQ
UA,UA
AA,AA
B6,B6
OO,OO
DL,DL
WN,WN
DL,DL
UA,UA
B6,B6
EV,EV
HA,HA
WN,WN
B6,B6
YV,YV
OO,OO
B6,B6
UA,UA
OO,OO
EV,EV
OO,OO
US,US
HA,HA
WN,WN
US,US
WN,WN
WN,WN
OO,OO
UA,UA
OO,OO
OO,OO
OO,OO
F9,"F9, "
WN,WN
OO,OO
OO,OO
US,US
WN,WN
OO,OO
AA,AA
AS,AS
AA,AA
AA,AA
WN,WN
B6,B6
YV,YV
DL,DL
UA,UA
UA,UA
OO,OO
FL,FL
MQ,MQ
AA,AA
UA,UA
MQ,MQ
EV,EV
MQ,MQ
UA,UA
US,US
DL,DL
WN,WN
B6,B6
DL,DL
WN,WN
DL,DL
EV,EV
OO,OO
OO,OO
AA,AA
WN,WN
WN,WN
UA,UA
UA,UA
F9,F9
DL,DL
EV,EV
HA,HA
AA,AA
WN,WN
MQ,MQ
DL,DL
DL,DL
OO,OO
AS,AS
MQ,MQ
EV,EV
UA,UA
WN,WN
HA,HA
VX,VX
WN,WN
AA,AA
MQ,MQ
AA,AA
OO,OO
OO,OO
WN,WN
OO,OO
UA,UA
WN,WN
US,US
YV,YV
WN,WN
OO,OO
UA,UA
EV,EV
WN,WN
OO,OO
AA,AA
YV,YV
DL,DL
WN,WN
DL,DL
MQ,MQ
FL,FL
YV,YV
DL,DL
OO,OO
OO,OO
OO,OO
EV,EV
OO,OO
EV,EV
DL,DL
EV,EV
UA,UA
FL,FL
EV,EV
WN,WN
EV,EV
UA,UA
WN,WN
EV,EV
UA,UA
UA,UA
WN,WN
AA,AA
OO,OO
MQ,MQ
US,US
MQ,MQ
DL,DL
WN,WN
F9,F9
AA,AA
US,US
OO,OO
DL,DL
US,US
UA,UA
US,US
AA,AA
UA,UA
US,US
US,US
UA,UA
FL,FL
US,US
UA,UA
AA,AA
WN,WN
OO,OO
UA,UA
WN,WN
EV,EV
WN,WN
WN,WN
WN,WN
AS,AS
WN,WN
UA,UA
EV,EV
EV,EV
DL,DL
AA,AA
OO,OO
OO,OO
DL,DL
DL,DL
AA,AA
OO,OO
OO,OO
OO,OO
WN,WN
WN,WN
EV,EV
EV,EV
AA,AA
B6,B6
WN,WN
B6,B6
FL,FL
US,US
OO,OO
US,US
DL,DL
MQ,MQ
AA,AA
EV,EV
AA,AA
B6,B6
WN,WN
OO,OO
OO,OO
OO,OO
AS,AS
UA,UA
DL,DL
WN,WN
WN,WN
UA,UA
OO,OO
UA,UA
EV,EV
AS,AS
AA,AA
