A,Q
30102,100%
50173,100%
40001,80%
40010,88%
50036,98%
50045,100%
30055,73%
10039,100%
10164,88%
50179,98%
30123,85%
40002,91%
50100,79%
10129,98%
50090,98%
10025,80%
10050,64%
10010,84%
50222,98%
20001,93%
50128,100%
50024,100%
31313,100%
30064,100%
10086,98%
50089,85%
10059,100%
11302,83%
50189,100%
03033F,100%
50189,100%
40091,50%
10109,100%
30011,95%
50234,97%
10167,98%
10069,62%
50038,85%
40078,92%
40051,87%
30089,100%
50211,94%
30012,100%
40088,100%
10073,58%
10036,80%
50261,89%
40042,100%
10104,100%
30120,99%
50113,85%
40036,90%
50149,93%
10066,43%
10150,71%
50091,86%
31304,100%
40027,100%
50056,99%
10152,93%
40072,100%
50191,93%
10029,93%
10145,95%
10130,58%
50135,31%
20006,95%
40088,96%
30087,92%
40069,97%
10034,95%
30043,81%
10039,97%
50124,35%
50042,100%
10019,97%
50076,100%
50076,88%
10091,88%
50110,100%
10112,62%
10058,100%
10131,99%
50248,99%
30115,100%
10092,90%
05025F,100%
40050,91%
10149,88%
50072,100%
30089,96%
10114,74%
10025,88%
20001,95%
50262,92%
30012,93%
10023,92%
10137,89%
30111,94%
30011,81%
10023,97%
01014F,78%
41311,78%
10052,67%
50018,100%
10097,44%
30073,80%
10012,93%
30115,92%
40042,93%
50055,96%
30100,85%
30012,96%
40088,100%
30073,77%
50242,93%
50245,99%
30087,88%
50129,77%
10005,97%
50009,96%
50077,100%
